"Name","Location","Type","Namespace","Source","Reference Count","Offcut Ref Count"
"MEMMOVE_OBJ_44","0000be38","Instruction Label","Global","Imported","1","0"
"MEMMOVE_OBJ_60","0000be54","Instruction Label","Global","Imported","2","0"
"MEMMOVE_OBJ_64","0000be58","Function","Global","User Defined","0","0"
"SetDumpFnt","0000be64","Function","Global","User Defined","0","0"
"FONT_OBJ_38","0000be9c","Instruction Label","Global","Imported","2","0"
"FntLoad","0000bea4","Function","Global","Imported","0","0"
"FntOpen","0000bf44","Function","Global","Imported","0","0"
"FONT_OBJ_138","0000bf9c","Instruction Label","Global","Imported","1","0"
"FONT_OBJ_148","0000bfac","Instruction Label","Global","Imported","1","0"
"FONT_OBJ_17C","0000bfe0","Instruction Label","Global","Imported","1","0"
"FONT_OBJ_260","0000c0c4","Instruction Label","Global","Imported","1","0"
"FONT_OBJ_320","0000c184","Instruction Label","Global","Imported","1","0"
"FONT_OBJ_344","0000c1a8","Instruction Label","Global","Imported","1","0"
"FONT_OBJ_370","0000c1d4","Function","Global","User Defined","0","0"
"FntFlush","0000c200","Function","Global","Imported","0","0"
"FONT_OBJ_3F8","0000c25c","Instruction Label","Global","Imported","1","0"
"FONT_OBJ_430","0000c294","Instruction Label","Global","Imported","2","0"
"FONT_OBJ_48C","0000c2f0","Instruction Label","Global","Imported","1","0"
"FONT_OBJ_4C8","0000c32c","Instruction Label","Global","Imported","1","0"
"FONT_OBJ_528","0000c38c","Instruction Label","Global","Imported","1","0"
"FONT_OBJ_530","0000c394","Function","Global","User Defined","1","0"
"FONT_OBJ_554","0000c3b8","Instruction Label","Global","Imported","1","0"
"FONT_OBJ_55C","0000c3c0","Function","Global","User Defined","0","0"
"FONT_OBJ_568","0000c3cc","Instruction Label","Global","Imported","1","0"
"FONT_OBJ_5BC","0000c420","Instruction Label","Global","Imported","1","0"
"FONT_OBJ_5C0","0000c424","Function","Global","User Defined","0","0"
"FONT_OBJ_5D4","0000c438","Instruction Label","Global","Imported","1","0"
"FONT_OBJ_5D8","0000c43c","Function","Global","User Defined","3","0"
"FONT_OBJ_5F8","0000c45c","Instruction Label","Global","Imported","1","0"
"FONT_OBJ_610","0000c474","Instruction Label","Global","Imported","1","0"
"FONT_OBJ_618","0000c47c","Function","Global","User Defined","0","0"
"FONT_OBJ_628","0000c48c","Instruction Label","Global","Imported","2","0"
"FONT_OBJ_66C","0000c4d0","Instruction Label","Global","Imported","2","0"
"FONT_OBJ_688","0000c4ec","Function","Global","User Defined","0","0"
"FntPrint","0000c51c","Function","Global","User Defined","0","0"
"FONT_OBJ_710","0000c574","Instruction Label","Global","Imported","1","0"
"FONT_OBJ_740","0000c5a4","Instruction Label","Global","Imported","3","0"
"FONT_OBJ_748","0000c5ac","Instruction Label","Global","Imported","1","0"
"FONT_OBJ_750","0000c5b4","Instruction Label","Global","Imported","1","0"
"FONT_OBJ_7A4","0000c608","Instruction Label","Global","Imported","1","0"
"FONT_OBJ_7C0","0000c624","Instruction Label","Global","Imported","1","0"
"FONT_OBJ_7F4","0000c658","Instruction Label","Global","Imported","1","0"
"FONT_OBJ_804","0000c668","Instruction Label","Global","Imported","1","0"
"FONT_OBJ_820","0000c684","Function","Global","User Defined","0","0"
"FONT_OBJ_83C","0000c6a0","Instruction Label","Global","Imported","1","0"
"FONT_OBJ_864","0000c6c8","Function","Global","User Defined","0","0"
"FONT_OBJ_888","0000c6ec","Instruction Label","Global","Imported","1","0"
"FONT_OBJ_88C","0000c6f0","Function","Global","User Defined","0","0"
"FONT_OBJ_890","0000c6f4","Instruction Label","Global","Imported","2","0"
"FONT_OBJ_8E4","0000c748","Function","Global","User Defined","0","0"
"FONT_OBJ_8F8","0000c75c","Instruction Label","Global","Imported","1","0"
"FONT_OBJ_8FC","0000c760","Instruction Label","Global","Imported","1","0"
"FONT_OBJ_940","0000c7a4","Instruction Label","Global","Imported","1","0"
"FONT_OBJ_95C","0000c7c0","Function","Global","User Defined","0","0"
"FONT_OBJ_97C","0000c7e0","Function","Global","User Defined","0","0"
"FONT_OBJ_99C","0000c800","Function","Global","User Defined","2","0"
"FONT_OBJ_9A0","0000c804","Function","Global","User Defined","1","0"
"FONT_OBJ_9A8","0000c80c","Instruction Label","Global","Imported","1","0"
"FONT_OBJ_9E0","0000c844","Instruction Label","Global","Imported","2","0"
"FONT_OBJ_9F4","0000c858","Instruction Label","Global","Imported","1","0"
"FONT_OBJ_A2C","0000c890","Instruction Label","Global","Imported","1","0"
"FONT_OBJ_A30","0000c894","Instruction Label","Global","Imported","1","0"
"FONT_OBJ_A40","0000c8a4","Instruction Label","Global","Imported","1","0"
"FONT_OBJ_A58","0000c8bc","Function","Global","User Defined","0","0"
"memset","0000c8e4","Function","Global","User Defined","0","0"
"LoadTPage","0000c8f4","Function","Global","User Defined","0","0"
"E00_OBJ_64","0000c958","Instruction Label","Global","Imported","1","0"
"E00_OBJ_78","0000c96c","Instruction Label","Global","Imported","1","0"
"E00_OBJ_84","0000c978","Instruction Label","Global","Imported","1","0"
"E00_OBJ_90","0000c984","Instruction Label","Global","Imported","1","0"
"E00_OBJ_A4","0000c998","Instruction Label","Global","Imported","1","0"
"E00_OBJ_A8","0000c99c","Function","Global","User Defined","0","0"
"E00_OBJ_AC","0000c9a0","Function","Global","User Defined","0","0"
"LoadClut2","0000c9e4","Function","Global","Imported","0","0"
"GetTPage","0000ca54","Function","Global","User Defined","0","0"
"GetClut","0000ca94","Function","Global","User Defined","0","0"
"AddPrim","0000cab4","Function","Global","Imported","0","0"
"SetDrawMode","0000cb84","Function","Global","User Defined","0","0"
"P41_OBJ_1C","0000cba0","Instruction Label","Global","Imported","1","0"
"P41_OBJ_28","0000cbac","Instruction Label","Global","Imported","1","0"
"P41_OBJ_88","0000cc0c","Instruction Label","Global","Imported","1","0"
"P41_OBJ_8C","0000cc10","Function","Global","User Defined","0","0"
"FlushCache","0000cc24","Function","Global","User Defined","0","0"
"SetMem","0000cc34","Function","Global","User Defined","0","0"
"MSC00_OBJ_0","0000cc44","Data Label","Global","Imported","0","0"
"InitGeom","0000cc4c","Function","Global","User Defined","0","0"
"_patch_gte","0000ccd4","Function","Global","User Defined","0","0"
"PATCHGTE_OBJ_40","0000cd14","Instruction Label","Global","Imported","1","0"
"PATCHGTE_OBJ_70","0000cd44","Instruction Label","Global","Imported","1","0"
"PATCHGTE_OBJ_88","0000cd5c","Instruction Label","Global","Imported","1","0"
"PATCHGTE_OBJ_AC","0000cd80","Function","Global","User Defined","0","0"
"PATCHGTE_OBJ_C4","0000cd98","Function","Global","User Defined","0","0"
