"Name","Location","Type","Namespace","Source","Reference Count","Offcut Ref Count"
"DSSYS_1_OBJ_B04","00025ed8","Function","Global","User Defined","0","0"
"DSSYS_1_OBJ_B08","00025edc","Function","Global","User Defined","0","0"
"DSSYS_1_OBJ_B44","00025f18","Instruction Label","Global","Imported","2","0"
"DSSYS_1_OBJ_B54","00025f28","Function","Global","Imported","0","0"
"DSSYS_1_OBJ_B88","00025f5c","Instruction Label","Global","Imported","1","0"
"DSSYS_1_OBJ_BD8","00025fac","Instruction Label","Global","Imported","1","0"
"DSSYS_1_OBJ_C18","00025fec","Instruction Label","Global","Imported","1","0"
"DSSYS_1_OBJ_C70","00026044","Instruction Label","Global","Imported","1","0"
"DSSYS_1_OBJ_C78","0002604c","Instruction Label","Global","Imported","1","0"
"DSSYS_1_OBJ_C88","0002605c","Instruction Label","Global","Imported","1","0"
